trade_id,timestamp,datetime,asset,direction,amount,expiry,pnl,balance_before,balance_after,outcome,hour,day_of_week
13907831810,2026-05-18T21:17:00.426012,2026-05-18 21:17:00.426012,EURUSD-OTC,put,6.88,1,5.16,3439.63,3444.79,win,21,Monday
13907837719,2026-05-18T21:19:00.444301,2026-05-18 21:19:00.444301,EURUSD-OTC,call,6.88,1,-6.0,3438.79,3432.79,loss,21,Monday
13907841053,2026-05-18T21:20:00.885274,2026-05-18 21:20:00.885274,EURUSD-OTC,put,6.87,1,5.16,3432.79,3437.95,win,21,Monday
13907844494,2026-05-18T21:21:00.833592,2026-05-18 21:21:00.833592,EURUSD-OTC,put,6.88,1,5.16,3437.95,3443.11,win,21,Monday
13907850052,2026-05-18T21:23:00.334991,2026-05-18 21:23:00.334991,EURUSD-OTC,call,6.87,1,-6.0,3437.11,3431.11,loss,21,Monday
13907853251,2026-05-18T21:24:00.653029,2026-05-18 21:24:00.653029,EURUSD-OTC,put,6.86,1,5.16,3431.11,3436.27,win,21,Monday
13907855822,2026-05-18T21:25:00.680049,2026-05-18 21:25:00.680049,EURUSD-OTC,put,6.87,1,-6.0,3436.27,3430.27,loss,21,Monday
13907858382,2026-05-18T21:26:00.632470,2026-05-18 21:26:00.632470,EURUSD-OTC,call,6.86,1,-6.0,3430.27,3424.27,loss,21,Monday
13907861252,2026-05-18T21:27:00.735993,2026-05-18 21:27:00.735993,EURUSD-OTC,put,6.85,1,5.16,3424.27,3429.43,win,21,Monday
13907899981,2026-05-18T21:41:00.749056,2026-05-18 21:41:00.749056,EURUSD-OTC,put,6.88,1,5.16,3439.75,3444.91,win,21,Monday
13907902113,2026-05-18T21:42:00.511657,2026-05-18 21:42:00.511657,EURUSD-OTC,put,6.89,1,-6.0,3444.91,3438.91,loss,21,Monday
13907904628,2026-05-18T21:43:00.527703,2026-05-18 21:43:00.527703,EURUSD-OTC,call,6.88,1,5.16,3438.91,3444.07,win,21,Monday
13907913096,2026-05-18T21:46:00.504795,2026-05-18 21:46:00.504795,EURUSD-OTC,put,6.88,1,-6.0,3438.07,3432.07,loss,21,Monday
13907914477,2026-05-18T21:47:00.622735,2026-05-18 21:47:00.622735,EURUSD-OTC,put,6.86,1,-6.0,3432.07,3426.07,loss,21,Monday
13907917136,2026-05-18T21:48:00.760750,2026-05-18 21:48:00.760750,EURUSD-OTC,call,6.85,1,5.16,3426.07,3431.23,win,21,Monday
13907919976,2026-05-18T21:49:00.414330,2026-05-18 21:49:00.414330,EURUSD-OTC,put,6.86,1,-6.0,3431.23,3425.23,loss,21,Monday
13907922567,2026-05-18T21:50:00.598871,2026-05-18 21:50:00.598871,EURUSD-OTC,call,6.85,1,5.16,3425.23,3430.39,win,21,Monday
13907924981,2026-05-18T21:51:01.023002,2026-05-18 21:51:01.023002,EURUSD-OTC,call,6.86,1,5.16,3430.39,3435.55,win,21,Monday
13907927274,2026-05-18T21:52:00.342168,2026-05-18 21:52:00.342168,EURUSD-OTC,call,6.87,1,-6.0,3435.55,3429.55,loss,21,Monday
13907929726,2026-05-18T21:53:00.415864,2026-05-18 21:53:00.415864,EURUSD-OTC,put,6.86,1,-6.0,3429.55,3423.55,loss,21,Monday
13907932125,2026-05-18T21:54:00.535650,2026-05-18 21:54:00.535650,EURUSD-OTC,call,6.85,1,-6.0,3423.55,3417.55,loss,21,Monday
13908100942,2026-05-18T23:02:00.882148,2026-05-18 23:02:00.882148,EURUSD-OTC,put,6.84,1,5.16,3417.55,3422.71,win,23,Monday
13908103560,2026-05-18T23:03:00.802873,2026-05-18 23:03:00.802873,EURUSD-OTC,put,6.85,1,-6.0,3422.71,3416.71,loss,23,Monday
13908108038,2026-05-18T23:05:00.143757,2026-05-18 23:05:00.143757,EURUSD-OTC,put,6.83,1,5.16,3416.71,3421.87,win,23,Monday
13908110603,2026-05-18T23:06:00.730570,2026-05-18 23:06:00.730570,EURUSD-OTC,put,6.84,1,5.16,3421.87,3427.03,win,23,Monday
13908112914,2026-05-18T23:07:00.726651,2026-05-18 23:07:00.726651,EURUSD-OTC,put,6.85,1,5.16,3427.03,3432.19,win,23,Monday
13908115294,2026-05-18T23:08:00.664171,2026-05-18 23:08:00.664171,EURUSD-OTC,put,6.86,1,5.16,3432.19,3437.3499999999995,win,23,Monday
13908117731,2026-05-18T23:09:00.589117,2026-05-18 23:09:00.589117,EURUSD-OTC,put,6.87,1,-6.0,3437.3499999999995,3431.3499999999995,loss,23,Monday
13908120229,2026-05-18T23:10:01.016977,2026-05-18 23:10:01.016977,EURUSD-OTC,call,6.86,1,5.16,3431.3499999999995,3436.5099999999998,win,23,Monday
13908122652,2026-05-18T23:11:01.095121,2026-05-18 23:11:01.095121,EURUSD-OTC,call,6.87,1,-6.0,3436.5099999999998,3430.5099999999998,loss,23,Monday
13908124867,2026-05-18T23:12:00.728623,2026-05-18 23:12:00.728623,EURUSD-OTC,put,6.86,1,-6.0,3430.5099999999998,3424.5099999999998,loss,23,Monday
13908126987,2026-05-18T23:13:00.496839,2026-05-18 23:13:00.496839,EURUSD-OTC,call,6.85,1,5.16,3424.5099999999998,3429.669999999999,win,23,Monday
13908129098,2026-05-18T23:14:00.871414,2026-05-18 23:14:00.871414,EURUSD-OTC,call,6.86,1,-6.0,3429.669999999999,3423.669999999999,loss,23,Monday
13908131246,2026-05-18T23:15:01.034394,2026-05-18 23:15:01.034394,EURUSD-OTC,call,6.85,1,5.16,3423.669999999999,3428.829999999999,win,23,Monday
13908140384,2026-05-18T23:19:00.686091,2026-05-18 23:19:00.686091,EURUSD-OTC,call,6.86,1,5.16,3427.99,3433.1499999999996,win,23,Monday
